file_name,file_id,file_url,parent_folder_name,parent_folder_id,mime_type,created,modified,size_bytes,owner,project,sub_topic,type,status,summary_50w,linked_projects,value_score,action,enrichment_status
index.html,1JwdGIu0ZzpjNj3r7tl1bpNe-eRKEp6oF,https://drive.google.com/file/d/1JwdGIu0ZzpjNj3r7tl1bpNe-eRKEp6oF/view?usp=drivesdk,Ai model agency,1XYVnBmkBFC86V6vtsAQkgq3vqb3NMsPx,text/html,24.03.2026,24.03.2026,42265,dogecryptoco@gmail.com,Axon Agency,,,,,,,,RULE_DONE
axon_ecosystem_map.svg,1zAly172fCSzxR3yoUWjiv_JUXnN9c0Xq,https://drive.google.com/file/d/1zAly172fCSzxR3yoUWjiv_JUXnN9c0Xq/view?usp=drivesdk,Ai model agency,1XYVnBmkBFC86V6vtsAQkgq3vqb3NMsPx,image/svg+xml,24.03.2026,24.03.2026,44794,dogecryptoco@gmail.com,Axon Agency,,,,,,,,RULE_DONE
AXON,1avbM7tBtjPPJDpKNfQFAGttYmuYn4ZBX,https://sites.google.com/d/1avbM7tBtjPPJDpKNfQFAGttYmuYn4ZBX/edit,Ai model agency,1XYVnBmkBFC86V6vtsAQkgq3vqb3NMsPx,application/vnd.google-apps.site,24.03.2026,24.03.2026,8678002,dogecryptoco@gmail.com,Axon Agency,,,,,,,,RULE_DONE
AI_Trace_Cleaner_API_v5.md,1YO8kIDIYotX1v08gKUqS7xZmQIsHNXPh,https://drive.google.com/file/d/1YO8kIDIYotX1v08gKUqS7xZmQIsHNXPh/view?usp=drivesdk,AI Image Normalization,1Grhl6DAtUy5duYwD17zyvHiM8qYc4iTi,text/markdown,23.03.2026,23.03.2026,19072,dogecryptoco@gmail.com,Контент-завод,AI Image Normalization & Trace Cleaner API,API Documentation,,"Документация для API v5 по очистке следов и нормализации изображений с использованием ИИ. Файл описывает функционал для улучшения качества медиа-контента, автоматизации обработки и повышения эффективности в проектах, связанных с визуальным контентом.","Контент-завод, AVOuniverse",4,KEEP,AI_DONE
Презентация группы компаний Zolotov International Group и Эмиля Золотова,1iHTLBpW-g9cP7bDlUMp3_yC5rTgwXoGSNFzfVtDFlqU,https://docs.google.com/document/d/1iHTLBpW-g9cP7bDlUMp3_yC5rTgwXoGSNFzfVtDFlqU/edit?usp=drivesdk,Золотов,1VBlkBvMD_-c0Ee0lN9kbmMMh_hp5zuUl,application/vnd.google-apps.document,13.02.2026,13.02.2026,2946,dogecryptoco@gmail.com,Ювелирный дом Золотов,,,,,,,,RULE_DONE
Бриф_UAE_селлеры_РФ.docx,1EnbiDaqsKIeblvR8Vr7_Zl6Zlg51csaA,https://docs.google.com/document/d/1EnbiDaqsKIeblvR8Vr7_Zl6Zlg51csaA/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,Leaders Advocates Referral Program,1oZPa6VFFmLCZVIOyZeTP2LVH2JxAuVF7,application/vnd.openxmlformats-officedocument.wordprocessingml.document,16.04.2026,16.04.2026,15428,dogecryptoco@gmail.com,Leaders Advocates,,,,,,,,RULE_DONE
Аудит_КП_UAE_структура.docx,1XJ6OlduX3tZJ_uqAm6nmDnGY8dWQk3Ba,https://docs.google.com/document/d/1XJ6OlduX3tZJ_uqAm6nmDnGY8dWQk3Ba/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,Leaders Advocates Referral Program,1oZPa6VFFmLCZVIOyZeTP2LVH2JxAuVF7,application/vnd.openxmlformats-officedocument.wordprocessingml.document,16.04.2026,16.04.2026,21267,dogecryptoco@gmail.com,Leaders Advocates,,,,,,,,RULE_DONE
100trust_ru_precise.docx,1JWoZfyM0GgLFcyEUMfKM7DDWHyYhrXJz,https://docs.google.com/document/d/1JWoZfyM0GgLFcyEUMfKM7DDWHyYhrXJz/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,Leaders Advocates Referral Program,1oZPa6VFFmLCZVIOyZeTP2LVH2JxAuVF7,application/vnd.openxmlformats-officedocument.wordprocessingml.document,16.04.2026,16.04.2026,38092,dogecryptoco@gmail.com,Leaders Advocates,,,,,,,,RULE_DONE
100trust_ru.docx,1z_oGDi9TbI3hwCZz5t844uVroRog9_xE,https://docs.google.com/document/d/1z_oGDi9TbI3hwCZz5t844uVroRog9_xE/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,Leaders Advocates Referral Program,1oZPa6VFFmLCZVIOyZeTP2LVH2JxAuVF7,application/vnd.openxmlformats-officedocument.wordprocessingml.document,16.04.2026,16.04.2026,37461,dogecryptoco@gmail.com,Leaders Advocates,,,,,,,,RULE_DONE
investor_brief_v2.docx,1wYlKp8e7g2Ifk5x3LF8vIk38ekHjgEmP,https://docs.google.com/document/d/1wYlKp8e7g2Ifk5x3LF8vIk38ekHjgEmP/edit?usp=drivesdk&ouid=101708733213203704249&rtpof=true&sd=true,Leaders Advocates Referral Program,1oZPa6VFFmLCZVIOyZeTP2LVH2JxAuVF7,application/vnd.openxmlformats-officedocument.wordprocessingml.document,16.04.2026,16.04.2026,17183,dogecryptoco@gmail.com,Leaders Advocates,,,,,,,,RULE_DONE
Коммерческое предложение селлеру,1bm-p509Wmn6245LPPAreVxXdWYU-FnrDDsMF3UfrwJU,https://docs.google.com/document/d/1bm-p509Wmn6245LPPAreVxXdWYU-FnrDDsMF3UfrwJU/edit?usp=drivesdk,Leaders Advocates Referral Program,1oZPa6VFFmLCZVIOyZeTP2LVH2JxAuVF7,application/vnd.google-apps.document,16.04.2026,16.04.2026,12184,dogecryptoco@gmail.com,Leaders Advocates,,,,,,,,RULE_DONE
Коммерческое предложение,1S3qdGVv_Vy3DEqBkA0lRHD6rIVzXmIebJGgfWKbVdWg,https://docs.google.com/document/d/1S3qdGVv_Vy3DEqBkA0lRHD6rIVzXmIebJGgfWKbVdWg/edit?usp=drivesdk,Leaders Advocates Referral Program,1oZPa6VFFmLCZVIOyZeTP2LVH2JxAuVF7,application/vnd.google-apps.document,16.10.2025,16.10.2025,3602,dogecryptoco@gmail.com,Leaders Advocates,,,,,,,,RULE_DONE
Структура папок и файлы LARP,1nasvnUOTX6z-vpDZrLG9lX2XNgORh9p_OXHIahT3nxI,https://docs.google.com/document/d/1nasvnUOTX6z-vpDZrLG9lX2XNgORh9p_OXHIahT3nxI/edit?usp=drivesdk,Leaders Advocates Referral Program,1oZPa6VFFmLCZVIOyZeTP2LVH2JxAuVF7,application/vnd.google-apps.document,14.10.2025,14.10.2025,3485,dogecryptoco@gmail.com,Leaders Advocates,,,,,,,,RULE_DONE
